"2022-07-05 10:19:08 [restartedMain] INFO  c.ctc.MemberMicroserviceApplication - Starting MemberMicroserviceApplication using Java 16.0.1 on Ankit with PID 10072 (C:\Users\ankit\Desktop\MFPE 2\Back-end\Member-Microservice\target\classes started by ankit in C:\Users\ankit\Desktop\MFPE 2\Back-end\Member-Microservice)
""2022-07-05 10:19:21 [restartedMain] INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
""2022-07-05 10:19:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
""2022-07-05 10:19:21 [restartedMain] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
""2022-07-05 10:19:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
""2022-07-05 10:19:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
""2022-07-05 10:19:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
""2022-07-05 10:19:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
""2022-07-05 10:19:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
""2022-07-05 10:19:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: true
""2022-07-05 10:19:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
""2022-07-05 10:19:22 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
""2022-07-05 10:19:22 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
""2022-07-05 10:19:22 [restartedMain] INFO  c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
""2022-07-05 10:19:22 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1656996562314 with initial instances count: 1
""2022-07-05 10:19:22 [restartedMain] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application MEMBER-SERVICE with eureka with status UP
""2022-07-05 10:19:22 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1656996562319, current=UP, previous=STARTING]
""2022-07-05 10:19:22 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_MEMBER-SERVICE/member-service:c0f0303152efc6d14db0f6f6daaab2ab: registering service...
